cuda:1
genrr_chi
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor(31.7773, device='cuda:1')
pval: 0.0010000000474974513 -- 167th test, time elapsed 5.14648962020874 -- emperical power so far: 0.9820359281437125
tensor(28.1195, device='cuda:1')
pval: 0.0010000000474974513 -- 168th test, time elapsed 4.486833810806274 -- emperical power so far: 0.9821428571428571
tensor(17.9937, device='cuda:1')
pval: 0.0010000000474974513 -- 169th test, time elapsed 4.4986793994903564 -- emperical power so far: 0.9822485207100592
tensor(39.5707, device='cuda:1')
pval: 0.0010000000474974513 -- 170th test, time elapsed 4.50538444519043 -- emperical power so far: 0.9823529411764705
tensor(21.5139, device='cuda:1')
pval: 0.0010000000474974513 -- 171th test, time elapsed 4.4716713428497314 -- emperical power so far: 0.9824561403508771
tensor(18.3879, device='cuda:1')
pval: 0.0010000000474974513 -- 172th test, time elapsed 4.498820543289185 -- emperical power so far: 0.9825581395348837
tensor(38.0320, device='cuda:1')
pval: 0.0010000000474974513 -- 173th test, time elapsed 4.510462999343872 -- emperical power so far: 0.9826589595375722
tensor(15.0387, device='cuda:1')
pval: 0.004000000189989805 -- 174th test, time elapsed 4.680951118469238 -- emperical power so far: 0.9827586206896551
tensor(26.6507, device='cuda:1')
pval: 0.0010000000474974513 -- 175th test, time elapsed 4.501323461532593 -- emperical power so far: 0.9828571428571429
tensor(12.0285, device='cuda:1')
pval: 0.009000000543892384 -- 176th test, time elapsed 4.5416154861450195 -- emperical power so far: 0.9829545454545454
tensor(21.9320, device='cuda:1')
pval: 0.0010000000474974513 -- 177th test, time elapsed 4.6741862297058105 -- emperical power so far: 0.9830508474576272
tensor(15.1869, device='cuda:1')
pval: 0.0020000000949949026 -- 178th test, time elapsed 4.484674692153931 -- emperical power so far: 0.9831460674157303
tensor(38.0934, device='cuda:1')
pval: 0.0010000000474974513 -- 179th test, time elapsed 4.427745342254639 -- emperical power so far: 0.9832402234636871
tensor(27.4375, device='cuda:1')
pval: 0.0010000000474974513 -- 180th test, time elapsed 5.215659141540527 -- emperical power so far: 0.9833333333333333
tensor(35.9557, device='cuda:1')
pval: 0.0010000000474974513 -- 181th test, time elapsed 6.201479434967041 -- emperical power so far: 0.9834254143646409
tensor(25.2943, device='cuda:1')
pval: 0.0010000000474974513 -- 182th test, time elapsed 5.587651968002319 -- emperical power so far: 0.9835164835164835
tensor(25.5197, device='cuda:1')
pval: 0.0010000000474974513 -- 183th test, time elapsed 4.923721790313721 -- emperical power so far: 0.9836065573770492
tensor(20.5369, device='cuda:1')
pval: 0.0010000000474974513 -- 184th test, time elapsed 6.08791184425354 -- emperical power so far: 0.9836956521739131
tensor(32.8814, device='cuda:1')
pval: 0.0010000000474974513 -- 185th test, time elapsed 6.247831583023071 -- emperical power so far: 0.9837837837837838
tensor(27.2196, device='cuda:1')
pval: 0.0010000000474974513 -- 186th test, time elapsed 5.077594757080078 -- emperical power so far: 0.9838709677419355
tensor(14.9550, device='cuda:1')
pval: 0.004000000189989805 -- 187th test, time elapsed 5.790625333786011 -- emperical power so far: 0.983957219251337
tensor(41.1520, device='cuda:1')
pval: 0.0010000000474974513 -- 188th test, time elapsed 5.659886598587036 -- emperical power so far: 0.9840425531914894
tensor(17.0103, device='cuda:1')
pval: 0.0010000000474974513 -- 189th test, time elapsed 5.600687026977539 -- emperical power so far: 0.9841269841269841
tensor(12.6238, device='cuda:1')
pval: 0.013000000268220901 -- 190th test, time elapsed 5.772150993347168 -- emperical power so far: 0.9842105263157894
tensor(13.8573, device='cuda:1')
pval: 0.004000000189989805 -- 191th test, time elapsed 4.565934419631958 -- emperical power so far: 0.9842931937172775
tensor(30.5102, device='cuda:1')
pval: 0.0010000000474974513 -- 192th test, time elapsed 5.167047500610352 -- emperical power so far: 0.984375
tensor(31.3981, device='cuda:1')
pval: 0.0010000000474974513 -- 193th test, time elapsed 4.477831125259399 -- emperical power so far: 0.9844559585492227
tensor(28.1388, device='cuda:1')
pval: 0.0010000000474974513 -- 194th test, time elapsed 4.463433504104614 -- emperical power so far: 0.9845360824742269
tensor(40.0404, device='cuda:1')
pval: 0.0010000000474974513 -- 195th test, time elapsed 4.459699392318726 -- emperical power so far: 0.9846153846153847
tensor(14.6079, device='cuda:1')
pval: 0.004000000189989805 -- 196th test, time elapsed 5.687163829803467 -- emperical power so far: 0.9846938775510204
tensor(26.2238, device='cuda:1')
pval: 0.0010000000474974513 -- 197th test, time elapsed 5.865901708602905 -- emperical power so far: 0.9847715736040609
