cuda:1
lapu_ell2
privacy level = 2.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
pval: 0.07200000435113907 -- 163th test, time elapsed 2.1171886920928955 -- emperical power so far: 0.43558282208588955
tensor(0.1800, device='cuda:1')
pval: 0.007000000216066837 -- 164th test, time elapsed 2.077345609664917 -- emperical power so far: 0.43902439024390244
tensor(0.1525, device='cuda:1')
pval: 0.018000001087784767 -- 165th test, time elapsed 2.087106943130493 -- emperical power so far: 0.44242424242424244
tensor(-0.0014, device='cuda:1')
pval: 0.4130000174045563 -- 166th test, time elapsed 2.1313846111297607 -- emperical power so far: 0.4397590361445783
tensor(0.0697, device='cuda:1')
pval: 0.0950000062584877 -- 167th test, time elapsed 2.0923335552215576 -- emperical power so far: 0.437125748502994
tensor(0.1142, device='cuda:1')
pval: 0.02500000037252903 -- 168th test, time elapsed 2.0989742279052734 -- emperical power so far: 0.44047619047619047
tensor(0.0675, device='cuda:1')
pval: 0.10400000214576721 -- 169th test, time elapsed 2.085366725921631 -- emperical power so far: 0.4378698224852071
tensor(0.1259, device='cuda:1')
pval: 0.02500000037252903 -- 170th test, time elapsed 2.117295742034912 -- emperical power so far: 0.4411764705882353
tensor(0.0464, device='cuda:1')
pval: 0.15200001001358032 -- 171th test, time elapsed 2.0725059509277344 -- emperical power so far: 0.43859649122807015
tensor(0.0821, device='cuda:1')
pval: 0.0690000057220459 -- 172th test, time elapsed 2.1179451942443848 -- emperical power so far: 0.436046511627907
tensor(0.2065, device='cuda:1')
pval: 0.003000000026077032 -- 173th test, time elapsed 2.0948610305786133 -- emperical power so far: 0.4393063583815029
tensor(0.0199, device='cuda:1')
pval: 0.28200000524520874 -- 174th test, time elapsed 2.1432039737701416 -- emperical power so far: 0.4367816091954023
tensor(0.2286, device='cuda:1')
pval: 0.0010000000474974513 -- 175th test, time elapsed 2.13824725151062 -- emperical power so far: 0.44
tensor(0.0242, device='cuda:1')
pval: 0.26500001549720764 -- 176th test, time elapsed 2.1378235816955566 -- emperical power so far: 0.4375
tensor(-0.0236, device='cuda:1')
pval: 0.5980000495910645 -- 177th test, time elapsed 2.1044976711273193 -- emperical power so far: 0.4350282485875706
tensor(0.1695, device='cuda:1')
pval: 0.010000000707805157 -- 178th test, time elapsed 2.0941162109375 -- emperical power so far: 0.43820224719101125
tensor(0.2996, device='cuda:1')
pval: 0.0010000000474974513 -- 179th test, time elapsed 2.102360725402832 -- emperical power so far: 0.441340782122905
tensor(0.2165, device='cuda:1')
pval: 0.00800000037997961 -- 180th test, time elapsed 2.151909112930298 -- emperical power so far: 0.4444444444444444
tensor(0.1171, device='cuda:1')
